text	label
这是一个测试语句。	意图A
这是一个测试语句。	意图A
这是一个测试语句。	意图D
这是一个测试语句。	意图D
这是一个测试语句。	意图C
这是一个测试语句。	意图B
这是一个测试语句。	意图A
这是一个测试语句。	意图C
这是一个测试语句。	意图B
我想要什么？	意图D
这是一个测试语句。	意图A
这是一个测试语句。	意图A
这是一个测试语句。	意图D
这是一个测试语句。	意图D
这是一个测试语句。	意图C
这是一个测试语句。	意图B
这是一个测试语句。	意图A
这是一个测试语句。	意图C
这是一个测试语句。	意图B
我想要什么？	意图D
这是一个测试语句。	意图A
这是一个测试语句。	意图A
这是一个测试语句。	意图D
这是一个测试语句。	意图D
这是一个测试语句。	意图C
这是一个测试语句。	意图B
这是一个测试语句。	意图A
这是一个测试语句。	意图C
这是一个测试语句。	意图B
我想要什么？	意图D
这是一个测试语句。	意图A
这是一个测试语句。	意图A
这是一个测试语句。	意图D
这是一个测试语句。	意图D
这是一个测试语句。	意图C
这是一个测试语句。	意图B
这是一个测试语句。	意图A
这是一个测试语句。	意图C
这是一个测试语句。	意图B
我想要什么？	意图D
这是一个测试语句。	意图A
这是一个测试语句。	意图A
这是一个测试语句。	意图D
这是一个测试语句。	意图D
这是一个测试语句。	意图C
这是一个测试语句。	意图B
这是一个测试语句。	意图A
这是一个测试语句。	意图C
这是一个测试语句。	意图B
我想要什么？	意图D
这是一个测试语句。	意图A
这是一个测试语句。	意图A
这是一个测试语句。	意图D
这是一个测试语句。	意图D
这是一个测试语句。	意图C
这是一个测试语句。	意图B
这是一个测试语句。	意图A
这是一个测试语句。	意图C
这是一个测试语句。	意图B
我想要什么？	意图D